Date,BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
20151226,454.418112,460.999999,437,2783.62668,296.375584,0.89999,0.9,0.83995959,37.2824801,0.0064,0.00669407,0.0063,2.28463134,3.51880002,3.6999,3.51880002
20151227,419.549302,443,409.000166,11134.3494,44.5578093,0.85,0.89999999,0.85,0,0.0064,0,0,148.773947,3.36612688,3.6999,3.33
20151228,427.4,431.2296,417,4692.02672,37.92068,0.85880871,0.85880871,0.85,10.9754014,0.0065,0.0065,0.00627,14.9304507,3.53,3.53,3.5
20151229,424.461823,431.690374,417,5043.37705,396.406922,0.81622756,0.86267574,0.81267574,0.03667698,0.00611283,0.00611283,0.00611283,1653.40207,3.5,3.58617934,3.5
20151230,427.800029,437.078341,421.5,1861.8482,115.897718,0.87246947,0.89999998,0.81265794,59.0150896,0.0062,0.0062,0.00612176,198.857262,3.40041993,3.59350747,3.3697288
20151231,417,430.900048,417,4994.57987,3965.64965,0.91789441,0.95,0.85559679,0,0.0062,0,0,8.45192901,3.56304911,3.56304911,3.40041994
20160101,433.010137,433.010137,417.592945,1112.86613,18.9525754,0.92082835,0.969998,0.91301285,1.1998,0.005999,0.005999,0.005999,0,3.56304911,0,0
20160102,432.22,438.139999,428.270058,3018.84213,33.5695027,0.95913556,0.95913556,0.91870021,0,0.005999,0,0,0,3.56304911,0,0
20160103,426.453088,437.3635,426.453088,928.341834,128.583613,0.95699902,0.95699968,0.956,3.063385,0.00612677,0.00612677,0.00612677,2.81525023,3.43522154,3.56999,3.43522123
20160104,429.570011,435.679577,426.453091,706.781071,342.67127,0.96049884,0.97453798,0.95761216,0.14767739,0.00614945,0.00614945,0.00614945,0.05204325,3.43523009,3.43523009,3.43523009
20160105,430.701111,435.999999,429.5695,474.80461,128.098072,0.94104638,0.96222382,0.938,0,0.00614945,0,0,0.02323142,3.56999999,3.56999999,3.56999999
20160106,430.334187,433.768355,427.686396,1051.43671,272.24221,0.938,0.95999,0.938,13.1030262,0.00610607,0.00610607,0.006085,0.00375608,3.43523407,3.43523407,3.43523407
20160107,447.89,447.99,427.290001,5445.25722,185.513012,0.9394275,0.96702,0.9394275,0.02048057,0.00614945,0.00614945,0.00614945,9.40726147,3.53,3.53,3.43524633
20160108,453.1,468,446.999999,8953.52956,489.958749,0.99,0.99,0.93455024,85.7614992,0.00599999,0.00599999,0.00590001,147.524272,3.60494529,3.60494529,3.47619856
20160109,452.77,459.999999,446.999999,2500.63795,205.819347,1.0054,1.01555,0.94774669,65.3719753,0.006137,0.006137,0.0058416,0.47793214,3.48221539,3.519999,3.48221539
20160110,446.984428,454.03051,445,6016.76362,44.3673638,0.97343222,0.97381713,0.96923462,0,0.006137,0,0,1.17443689,3.5,3.63494529,3.5
20160111,447.128648,455.669999,440.020007,7102.42516,1661.07547,1.0137315,1.0725,0.97438273,0,0.006137,0,0,0.25584005,3.60880257,3.60880257,3.48221539
20160112,446.111142,451.276662,444.89,6078.92666,1964.56381,1.13900001,1.15,1.00029748,0.25329188,0.00570092,0.00570092,0.00570092,4.17865847,3.48221542,3.48221542,3.48221542
20160113,439.699999,448.62,424.001,10934.7381,2154.4177,1.07810867,1.2777,1.07810867,0,0.00570092,0,0,76.4974413,3.4421539,3.57099999,3.4421539
20160114,427.396935,438.699989,424,5187.96084,511.824239,1.145,1.145,1.07313839,5.96022776,0.00556176,0.00573216,0.00556176,0,3.4421539,0,0
20160115,407.66396,434.13,406.000066,7694.36991,269.277067,1.2279999,1.2749,1.12564641,67.7138181,0.00534812,0.00546974,0.00534812,14.6129307,3.40999979,3.55041359,3.3570506
20160116,367.745366,409.5,333.6,29079.4475,2063.73168,1.23811667,1.34888888,1.075,73.1987952,0.00483061,0.00523406,0.0046525,1714.23326,2.97700085,3.45,2.82666941
20160117,377.6,394.1,358.178512,17438.51,620.996338,1.21344179,1.28271719,1.14932594,3.99520917,0.00489204,0.00489216,0.00486649,0.8602385,2.98233775,3.10716287,2.92427659
20160118,374,389.999999,367.111129,11304.1437,1510.72436,1.430154,1.430154,1.223,0.91636853,0.00491703,0.00491703,0.00490262,705.699917,2.9442049,3.06,2.9442049
20160119,383.175001,399.949999,374.000004,23936.3138,9848.41519,1.44663371,1.6,1.2657,0.59906622,0.00510953,0.00542539,0.00510953,0.23028409,3.05926332,3.05926332,2.91941967
