BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
454.4 ,461.0 ,437.0 ,"2,783.6 ",296.4 ,0.9 ,0.9 ,0.8 ,37.3 ,0.0 ,0.0 ,0.0 ,2.3 ,3.5 ,3.7 ,3.5 
419.5 ,443.0 ,409.0 ,"11,134.3 ",44.6 ,0.9 ,0.9 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,148.8 ,3.4 ,3.7 ,3.3 
427.4 ,431.2 ,417.0 ,"4,692.0 ",37.9 ,0.9 ,0.9 ,0.9 ,11.0 ,0.0 ,0.0 ,0.0 ,14.9 ,3.5 ,3.5 ,3.5 
424.5 ,431.7 ,417.0 ,"5,043.4 ",396.4 ,0.8 ,0.9 ,0.8 ,0.0 ,0.0 ,0.0 ,0.0 ,"1,653.4 ",3.5 ,3.6 ,3.5 
427.8 ,437.1 ,421.5 ,"1,861.8 ",115.9 ,0.9 ,0.9 ,0.8 ,59.0 ,0.0 ,0.0 ,0.0 ,198.9 ,3.4 ,3.6 ,3.4 
417.0 ,430.9 ,417.0 ,"4,994.6 ","3,965.6 ",0.9 ,1.0 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,8.5 ,3.6 ,3.6 ,3.4 
433.0 ,433.0 ,417.6 ,"1,112.9 ",19.0 ,0.9 ,1.0 ,0.9 ,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 
432.2 ,438.1 ,428.3 ,"3,018.8 ",33.6 ,1.0 ,1.0 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.6 ,0.0 ,0.0 
426.5 ,437.4 ,426.5 ,928.3 ,128.6 ,1.0 ,1.0 ,1.0 ,3.1 ,0.0 ,0.0 ,0.0 ,2.8 ,3.4 ,3.6 ,3.4 
429.6 ,435.7 ,426.5 ,706.8 ,342.7 ,1.0 ,1.0 ,1.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.1 ,3.4 ,3.4 ,3.4 
430.7 ,436.0 ,429.6 ,474.8 ,128.1 ,0.9 ,1.0 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.6 ,3.6 ,3.6 
430.3 ,433.8 ,427.7 ,"1,051.4 ",272.2 ,0.9 ,1.0 ,0.9 ,13.1 ,0.0 ,0.0 ,0.0 ,0.0 ,3.4 ,3.4 ,3.4 
447.9 ,448.0 ,427.3 ,"5,445.3 ",185.5 ,0.9 ,1.0 ,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,9.4 ,3.5 ,3.5 ,3.4 
453.1 ,468.0 ,447.0 ,"8,953.5 ",490.0 ,1.0 ,1.0 ,0.9 ,85.8 ,0.0 ,0.0 ,0.0 ,147.5 ,3.6 ,3.6 ,3.5 
452.8 ,460.0 ,447.0 ,"2,500.6 ",205.8 ,1.0 ,1.0 ,0.9 ,65.4 ,0.0 ,0.0 ,0.0 ,0.5 ,3.5 ,3.5 ,3.5 
447.0 ,454.0 ,445.0 ,"6,016.8 ",44.4 ,1.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.2 ,3.5 ,3.6 ,3.5 
