BPRICE,BMAX,BMIN,BVOL,EPRICE,EMAX,EMIN,EVOL,XPRICE,XMAX,XMIN,XCOL,LPRICE,LMAX,LMIN,LVOL
454.4,461,437,"2,783.60",296.4,0.9,0.9,0.8,37.3,0,0,0,2.3,3.5,3.7,3.5
419.5,443,409,"11,134.30",44.6,0.9,0.9,0.9,0,0,0,0,148.8,3.4,3.7,3.3
427.4,431.2,417,"4,692.00",37.9,0.9,0.9,0.9,11,0,0,0,14.9,3.5,3.5,3.5
424.5,431.7,417,"5,043.40",396.4,0.8,0.9,0.8,0,0,0,0,"1,653.40",3.5,3.6,3.5
427.8,437.1,421.5,"1,861.80",115.9,0.9,0.9,0.8,59,0,0,0,198.9,3.4,3.6,3.4
417,430.9,417,"4,994.60","3,965.60",0.9,1,0.9,0,0,0,0,8.5,3.6,3.6,3.4
433,433,417.6,"1,112.90",19,0.9,1,0.9,1.2,0,0,0,0,3.6,0,0
432.2,438.1,428.3,"3,018.80",33.6,1,1,0.9,0,0,0,0,0,3.6,0,0
426.5,437.4,426.5,928.3,128.6,1,1,1,3.1,0,0,0,2.8,3.4,3.6,3.4
429.6,435.7,426.5,706.8,342.7,1,1,1,0.1,0,0,0,0.1,3.4,3.4,3.4
430.7,436,429.6,474.8,128.1,0.9,1,0.9,0,0,0,0,0,3.6,3.6,3.6
430.3,433.8,427.7,"1,051.40",272.2,0.9,1,0.9,13.1,0,0,0,0,3.4,3.4,3.4
447.9,448,427.3,"5,445.30",185.5,0.9,1,0.9,0,0,0,0,9.4,3.5,3.5,3.4
453.1,468,447,"8,953.50",490,1,1,0.9,85.8,0,0,0,147.5,3.6,3.6,3.5
452.8,460,447,"2,500.60",205.8,1,1,0.9,65.4,0,0,0,0.5,3.5,3.5,3.5
447,454,445,"6,016.80",44.4,1,1,1,0,0,0,0,1.2,3.5,3.6,3.5
447.1,455.7,440,"7,102.40","1,661.10",1,1.1,1,0,0,0,0,0.3,3.6,3.6,3.5
446.1,451.3,444.9,"6,078.90","1,964.60",1.1,1.2,1,0.3,0,0,0,4.2,3.5,3.5,3.5
439.7,448.6,424,"10,934.70","2,154.40",1.1,1.3,1.1,0,0,0,0,76.5,3.4,3.6,3.4
427.4,438.7,424,"5,188.00",511.8,1.1,1.1,1.1,6,0,0,0,0,3.4,0,0
407.7,434.1,406,"7,694.40",269.3,1.2,1.3,1.1,67.7,0,0,0,14.6,3.4,3.6,3.4
367.7,409.5,333.6,"29,079.40","2,063.70",1.2,1.3,1.1,73.2,0,0,0,"1,714.20",3,3.5,2.8
377.6,394.1,358.2,"17,438.50",621,1.2,1.3,1.1,4,0,0,0,0.9,3,3.1,2.9
374,390,367.1,"11,304.10","1,510.70",1.4,1.4,1.2,0.9,0,0,0,705.7,2.9,3.1,2.9
383.2,399.9,374,"23,936.30","9,848.40",1.4,1.6,1.3,0.6,0,0,0,0.2,3.1,3.1,2.9
389,389.2,376.7,"3,998.50",706.9,1.3,1.4,1.3,94.2,0,0,0,55.8,3,3.1,3
416.2,422.9,378.2,"18,517.80","5,595.40",1.5,1.7,1.4,22.3,0,0,0,47.6,3.2,3.4,3.1
400.4,420,389,"4,267.20",879.9,1.5,1.6,1.5,0,0,0,0,48.7,3.2,3.3,3.2
391.7,404.1,375,"9,220.50","1,714.70",1.7,1.8,1.5,27.7,0,0,0,410.9,3.1,3.2,3
392.5,404.4,378.8,"16,813.00","9,016.60",2.2,2.2,1.7,56.3,0,0,0,14.1,3.1,3.2,3.1
399.2,407.9,392.9,"7,822.70","8,629.40",2.1,2.3,1.8,111.5,0,0,0,13.2,3.1,3.2,3.1
387.2,403.9,384.9,"18,314.20","14,850.70",2.7,2.8,1.8,16,0,0,0,"1,028.40",3.1,3.2,3
392.1,401.2,384.3,"19,373.70","10,727.80",2.3,2.9,2,289.3,0,0,0,"3,226.90",3.2,3.3,3
381.6,398.3,374.7,"12,586.90","2,925.90",2.4,2.5,2.2,784.5,0,0,0,812.3,3.1,3.3,3.1
370.3,384.8,357.6,"12,041.60","5,745.90",2.6,2.8,2.4,32.3,0,0,0,321,3.1,3.2,3
376.1,381,368.8,"4,792.40","2,068.10",2.5,2.6,2.3,150.4,0,0,0,111.8,3,3.1,3
377.2,380.5,371.2,"1,398.20",208.8,2.4,2.6,2.4,117.2,0,0,0,0.3,3,3.1,3
364.6,380.3,362.6,"12,949.50","2,383.20",2.1,2.5,2.1,1.3,0,0,0,8.6,3,3,3
376,380.1,360.5,"10,053.00","4,133.80",2.1,2.3,2.1,36.1,0,0,0,0,3,3,3
368.7,377.1,351.9,"10,802.20","12,697.10",2.2,2.5,2.1,2,0,0,0,329.6,3,3.1,3
371,373,358.5,"8,203.80","7,813.10",2.6,2.6,2.4,1.8,0,0,0,9.3,3.1,3.1,3
389,392,365,"17,649.20","10,731.10",2.5,2.6,2.4,5.6,0,0,0,35.8,3.2,3.2,3
373.2,398,373.2,"29,174.20","1,772.10",2.5,2.6,2.5,0.2,0,0,0,19.2,3.1,3.2,3.1
378.5,380,371,"4,006.10",116.1,2.4,2.6,2.4,229.9,0,0,0,0,3.1,0,0
374.9,381.7,369,"16,975.10","5,323.70",2.9,3.1,2.4,65,0,0,0,0.1,3,3,3
374.2,376.7,369.1,"6,944.10","4,033.40",3.5,3.5,2.9,799.5,0,0.1,0,87.9,3,3.2,3
378.5,383.7,370.4,"32,676.00","16,700.60",4.9,4.9,3.3,"1,276.00",0,0,0,116.3,2.9,3.1,2.9
382,385,364.1,"24,191.30","36,330.90",4.3,4.9,3.2,"3,542.70",0,0,0,116.8,2.9,3.1,2.9
353.5,388.3,320,"41,546.60","66,293.00",5.2,7,3.9,"1,040.50",0,0,0,431.4,2.9,3.1,2.6
390,415,320,"55,099.80","49,793.70",5.2,6.5,4,"1,371.30",0,0,0,"2,621.70",3,3.4,1.6
400.8,401,380.3,"38,542.10","22,577.80",4.8,5.5,4.1,"1,206.80",0,0,0,298.4,3.2,3.2,3
407.6,408.7,396,"27,541.90","15,835.60",5.7,5.9,4.6,385.2,0,0,0,577.5,3.2,3.2,3
408,409.1,397.6,"34,599.10","16,172.90",5.2,5.9,5,505.2,0,0,0,389.9,3.2,3.3,3
413,414,399.6,"35,525.50","19,978.40",3.8,5.2,3.8,154.7,0,0,0,268.3,3.1,3.3,3.1
420,426,408,"48,215.80","14,604.20",4.1,4.3,3.4,"3,711.40",0,0,0,9.9,3.1,3.3,3.1
416,424.8,411.5,"28,854.60","12,947.40",4.7,5,4,"2,279.80",0,0,0,116.7,3.2,3.5,3.2
422.2,422.2,416,"10,768.10","4,249.50",4.4,4.7,4.2,11,0,0,0,8.6,3.2,3.2,3.2
439,443.2,420,"49,773.40","3,923.20",4.5,4.6,4.1,6.9,0,0,0,141.1,3.6,3.6,3.2
432,445,420.5,"32,028.00","8,682.70",4.9,5.4,4.3,574.1,0,0,0,44.8,3.6,3.6,3.3
423.3,441,418.5,"42,982.30","31,089.80",5.5,6,4.8,0.1,0,0,0,79.8,3.5,3.5,3.2
413.1,428,411,"36,678.50","13,200.00",5.5,5.9,5.3,8.2,0,0,0,359.7,3.3,3.5,3.3
402,422.7,384,"63,426.80","66,246.20",6.1,6.1,5.4,99.5,0,0,0,"2,125.40",3.1,3.4,3.1
423,425.7,397.1,"58,609.40","81,278.80",6.2,6.3,5.4,171.5,0,0,0,116.5,3.4,3.4,3.1
429,435,420,"27,148.40","13,993.90",6.3,6.3,5.7,134.9,0,0,0,460.2,3.4,3.4,3.2
424.9,433.5,420,"21,612.60","38,782.70",6.3,6.5,6.1,68.2,0,0,0,67.8,3.3,3.4,3.3
